ProductID,Brand,Category,Subcategory,ProductLine,ProductLineType,ProductName,Description,Gender,Material,Season,Color,PrimaryPurpose,WeatherProfile,Terrain,Waterproofing,Insulation,SizeCurve,PriceUSD,Rating
PRD-AF3495AF,AlpineCo,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite PioneerGTX Bombers/Softshell,Powder Lite PioneerGTX Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Polyester and weather resistant protection; insulation: none.,Women,Polyester,All-season,Forest,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"XS,S,M,L,XL",120,4.3
PRD-269760C5,TrailForge,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite AuroraThermo Bombers/Softshell,Powder Lite AuroraThermo Bombers/Softshell engineered for casual/urban on city/commute in any conditions. Built with Softshell and weather resistant protection; insulation: none.,Men,Softshell,All-season,Navy,Casual/Urban,Any,City/Commute,Weather Resistant,None,"S,M,L,XL,XXL",175,4.8
PRD-ACBF05E3,NorthPeak,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite RidgeLite Bombers/Softshell,Powder Lite RidgeLite Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Softshell and weather resistant protection; insulation: none.,Unisex,Softshell,All-season,Sand,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"XS,S,M,L,XL,XXL",171,4.2
PRD-D8AF7F16,AlpineCo,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite TerraGrid Bombers/Softshell,Powder Lite TerraGrid Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Nylon and weather resistant protection; insulation: none.,Women,Nylon,All-season,Plum,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"XS,S,M,L,XL",173,4.4
PRD-1471F524,TrailForge,Outerwear,Bombers/Softshell,Powder Lite,Outerwear,Powder Lite PioneerShield Bombers/Softshell,Powder Lite PioneerShield Bombers/Softshell engineered for casual/urban on city/commute in any conditions. Built with Polyester and weather resistant protection; insulation: none.,Unisex,Polyester,All-season,Sky,Casual/Urban,Any,City/Commute,Weather Resistant,None,"XS,S,M,L,XL,XXL",231,4.7
PRD-EFE840E0,NorthPeak,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme PioneerX Raincoats/Shell Jacket,OutDry Extreme PioneerX Raincoats/Shell Jacket engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with 3L Nylon and waterproof protection; insulation: none.,Women,3L Nylon,All-season,Moss,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Waterproof,None,"XS,S,M,L,XL",209,4.7
PRD-A871D6E7,AlpineCo,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme AuroraGTX Raincoats/Shell Jacket,OutDry Extreme AuroraGTX Raincoats/Shell Jacket engineered for travel on airport/city in variable conditions. Built with Gore-Tex and waterproof protection; insulation: none.,Women,Gore-Tex,All-season,Cobalt,Travel,Variable,Airport/City,Waterproof,None,"XS,S,M,L,XL",379,4.5
PRD-B8052869,TrailForge,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme StormPrime Raincoats/Shell Jacket,OutDry Extreme StormPrime Raincoats/Shell Jacket engineered for fishing on riverbank/boat in cool/wet conditions. Built with Gore-Tex and waterproof protection; insulation: none.,Unisex,Gore-Tex,All-season,Cobalt,Fishing,Cool/Wet,Riverbank/Boat,Waterproof,None,"XS,S,M,L,XL,XXL",377,4.5
PRD-CE2ADDBB,NorthPeak,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme CascadeGrid Raincoats/Shell Jacket,OutDry Extreme CascadeGrid Raincoats/Shell Jacket engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with 3L Nylon and waterproof protection; insulation: none.,Unisex,3L Nylon,All-season,Plum,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Waterproof,None,"XS,S,M,L,XL,XXL",410,4.8
PRD-1BBB311F,AlpineCo,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme FrontierGrid Raincoats/Shell Jacket,OutDry Extreme FrontierGrid Raincoats/Shell Jacket engineered for alpine climbing on alpine/rock/ice in cold/variable conditions. Built with eVent and waterproof protection; insulation: none.,Unisex,eVent,Winter,Cobalt,Alpine Climbing,Cold/Variable,Alpine/Rock/Ice,Waterproof,None,"XS,S,M,L,XL,XXL",194,4.3
PRD-9C880538,TrailForge,Outerwear,Raincoats/Shell Jackets,OutDry Extreme,Outerwear,OutDry Extreme SierraPrime Raincoats/Shell Jacket,OutDry Extreme SierraPrime Raincoats/Shell Jacket engineered for fishing on riverbank/boat in cool/wet conditions. Built with 3L Nylon and waterproof protection; insulation: none.,Women,3L Nylon,All-season,Plum,Fishing,Cool/Wet,Riverbank/Boat,Waterproof,None,"XS,S,M,L,XL",436,4.3
PRD-1E74A060,NorthPeak,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo StormX Parka,Bugaboo StormX Parka engineered for casual/urban on city/commute in any conditions. Built with Down/Polyester and weather resistant protection; insulation: insulated.,Unisex,Down/Polyester,Winter,Navy,Casual/Urban,Any,City/Commute,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",489,4.9
PRD-D720DC64,AlpineCo,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo AeroThermo Parka,Bugaboo AeroThermo Parka engineered for arctic travel on snow/ice in extreme cold conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Men,Synthetic/Nylon,Winter,Black,Arctic Travel,Extreme Cold,Snow/Ice,Weather Resistant,Insulated,"S,M,L,XL,XXL",606,4.3
PRD-B21C71D0,TrailForge,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo AuroraX Parka,Bugaboo AuroraX Parka engineered for snowboarding on snow/mountain in cold/wet conditions. Built with Down/Nylon and weather resistant protection; insulation: insulated.,Men,Down/Nylon,Winter,Teal,Snowboarding,Cold/Wet,Snow/Mountain,Weather Resistant,Insulated,"S,M,L,XL,XXL",639,4.4
PRD-BE94B900,NorthPeak,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo StormLite Parka,Bugaboo StormLite Parka engineered for snowboarding on snow/mountain in cold/wet conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Unisex,Synthetic/Nylon,Winter,Taupe,Snowboarding,Cold/Wet,Snow/Mountain,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",764,4.9
PRD-F97A5F88,AlpineCo,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo AtlasGrid Parka,Bugaboo AtlasGrid Parka engineered for arctic travel on snow/ice in extreme cold conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Men,Synthetic/Nylon,Winter,Cobalt,Arctic Travel,Extreme Cold,Snow/Ice,Weather Resistant,Insulated,"S,M,L,XL,XXL",364,4.4
PRD-DBDC3716,TrailForge,Outerwear,Parkas,Bugaboo,Outerwear,Bugaboo SierraGrid Parka,Bugaboo SierraGrid Parka engineered for arctic travel on snow/ice in extreme cold conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Unisex,Synthetic/Nylon,Winter,Taupe,Arctic Travel,Extreme Cold,Snow/Ice,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",464,4.8
PRD-E92BBFA7,NorthPeak,Outerwear,Bombers/Softshell,Titanium Elite,Outerwear,Titanium Elite VenturePro Bombers/Softshell,Titanium Elite VenturePro Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Softshell and weather resistant protection; insulation: none.,Men,Softshell,All-season,Cinder,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"S,M,L,XL,XXL",163,4.7
PRD-970BBA6F,AlpineCo,Outerwear,Lightweight Jackets,Titanium Elite,Outerwear,Titanium Elite FrontierPro Lightweight Jacket,Titanium Elite FrontierPro Lightweight Jacket engineered for camping on campsite/trails in mild/variable conditions. Built with Polyester and none/dwr protection; insulation: none.,Men,Polyester,All-season,Plum,Camping,Mild/Variable,Campsite/Trails,None/DWR,None,"S,M,L,XL,XXL",195,4.8
PRD-706D79B7,TrailForge,Outerwear,Bombers/Softshell,Titanium Elite,Outerwear,Titanium Elite StormX Bombers/Softshell,Titanium Elite StormX Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Polyester and weather resistant protection; insulation: none.,Women,Polyester,All-season,Cobalt,Travel,Variable,Airport/City,Weather Resistant,None,"XS,S,M,L,XL",216,4.3
PRD-14EEBC5D,NorthPeak,Outerwear,Lightweight Jackets,Titanium Elite,Outerwear,Titanium Elite RidgePro Lightweight Jacket,Titanium Elite RidgePro Lightweight Jacket engineered for camping on campsite/trails in mild/variable conditions. Built with Polyester and none/dwr protection; insulation: none.,Men,Polyester,All-season,Crimson,Camping,Mild/Variable,Campsite/Trails,None/DWR,None,"S,M,L,XL,XXL",143,4.8
PRD-476EE2FF,AlpineCo,Outerwear,Bombers/Softshell,Titanium Elite,Outerwear,Titanium Elite SierraPrime Bombers/Softshell,Titanium Elite SierraPrime Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Polyester and weather resistant protection; insulation: none.,Men,Polyester,All-season,Navy,Travel,Variable,Airport/City,Weather Resistant,None,"S,M,L,XL,XXL",237,4.4
PRD-D052FCD8,TrailForge,Outerwear,Lightweight Jackets,Titanium Elite,Outerwear,Titanium Elite AuroraCore Lightweight Jacket,Titanium Elite AuroraCore Lightweight Jacket engineered for summer hiking on dry trails in warm/dry conditions. Built with Polyester and none/dwr protection; insulation: none.,Women,Polyester,All-season,Forest,Summer Hiking,Warm/Dry,Dry Trails,None/DWR,None,"XS,S,M,L,XL",116,4.6
PRD-560DB96F,NorthPeak,Outerwear,Down Jackets,Heatzone,Outerwear,Heatzone GlacierGrid Down Jacket,Heatzone GlacierGrid Down Jacket engineered for backpacking on mixed trails in variable conditions. Built with Down/Pertex and weather resistant protection; insulation: insulated.,Women,Down/Pertex,Winter,Sand,Backpacking,Variable,Mixed Trails,Weather Resistant,Insulated,"XS,S,M,L,XL",314,4.4
PRD-09F38E74,AlpineCo,Outerwear,Down Jackets,Heatzone,Outerwear,Heatzone VentureCore Down Jacket,Heatzone VentureCore Down Jacket engineered for backpacking on mixed trails in variable conditions. Built with Down/Pertex and weather resistant protection; insulation: insulated.,Women,Down/Pertex,Winter,Sky,Backpacking,Variable,Mixed Trails,Weather Resistant,Insulated,"XS,S,M,L,XL",316,4.6
PRD-228B59A1,TrailForge,Outerwear,Down Jackets,Heatzone,Outerwear,Heatzone StormPro Down Jacket,Heatzone StormPro Down Jacket engineered for skiing on snow/mountain in cold/wet conditions. Built with Down/Ripstop Nylon and weather resistant protection; insulation: insulated.,Women,Down/Ripstop Nylon,Winter,Black,Skiing,Cold/Wet,Snow/Mountain,Weather Resistant,Insulated,"XS,S,M,L,XL",309,4.7
PRD-D3FC624D,NorthPeak,Outerwear,Down Jackets,Heatzone,Outerwear,Heatzone CascadeGrid Down Jacket,Heatzone CascadeGrid Down Jacket engineered for travel on airport/city in variable conditions. Built with Down/Ripstop Nylon and weather resistant protection; insulation: insulated.,Unisex,Down/Ripstop Nylon,Winter,Crimson,Travel,Variable,Airport/City,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",236,4.4
PRD-1B82A07F,AlpineCo,Outerwear,Parkas,Heatzone,Outerwear,Heatzone EvergreenX Parka,Heatzone EvergreenX Parka engineered for skiing on snow/mountain in cold/wet conditions. Built with Down/Polyester and weather resistant protection; insulation: insulated.,Women,Down/Polyester,Winter,Cinder,Skiing,Cold/Wet,Snow/Mountain,Weather Resistant,Insulated,"XS,S,M,L,XL",608,4.8
PRD-10252B5A,TrailForge,Outerwear,Down Jackets,Heatzone,Outerwear,Heatzone AtlasGTX Down Jacket,Heatzone AtlasGTX Down Jacket engineered for casual/urban on city/commute in any conditions. Built with Down/Ripstop Nylon and weather resistant protection; insulation: insulated.,Unisex,Down/Ripstop Nylon,Winter,Sky,Casual/Urban,Any,City/Commute,Weather Resistant,Insulated,"XS,S,M,L,XL,XXL",298,4.4
PRD-D18B4600,NorthPeak,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia SierraGTX Lightweight Jacket,Arcadia SierraGTX Lightweight Jacket engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Polyester and none/dwr protection; insulation: none.,Men,Polyester,All-season,Forest,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,None/DWR,None,"S,M,L,XL,XXL",155,4.5
PRD-9706E194,AlpineCo,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia SummitGrid Lightweight Jacket,Arcadia SummitGrid Lightweight Jacket engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Nylon and none/dwr protection; insulation: none.,Unisex,Nylon,All-season,Black,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,None/DWR,None,"XS,S,M,L,XL,XXL",144,4.6
PRD-D4109946,TrailForge,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia EvergreenPrime Lightweight Jacket,Arcadia EvergreenPrime Lightweight Jacket engineered for travel on airport/city in variable conditions. Built with Nylon and none/dwr protection; insulation: none.,Unisex,Nylon,All-season,Cinder,Travel,Variable,Airport/City,None/DWR,None,"XS,S,M,L,XL,XXL",220,4.8
PRD-95E7C2D4,NorthPeak,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia TerraPrime Lightweight Jacket,Arcadia TerraPrime Lightweight Jacket engineered for summer hiking on dry trails in warm/dry conditions. Built with Nylon and none/dwr protection; insulation: none.,Men,Nylon,All-season,Cinder,Summer Hiking,Warm/Dry,Dry Trails,None/DWR,None,"S,M,L,XL,XXL",188,4.6
PRD-79913925,AlpineCo,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia AtlasX Lightweight Jacket,Arcadia AtlasX Lightweight Jacket engineered for camping on campsite/trails in mild/variable conditions. Built with Nylon and none/dwr protection; insulation: none.,Women,Nylon,All-season,Forest,Camping,Mild/Variable,Campsite/Trails,None/DWR,None,"XS,S,M,L,XL",212,4.8
PRD-D3044F3F,TrailForge,Outerwear,Lightweight Jackets,Arcadia,Outerwear,Arcadia SummitCore Lightweight Jacket,Arcadia SummitCore Lightweight Jacket engineered for camping on campsite/trails in mild/variable conditions. Built with Polyester and none/dwr protection; insulation: none.,Men,Polyester,All-season,Crimson,Camping,Mild/Variable,Campsite/Trails,None/DWR,None,"S,M,L,XL,XXL",155,4.3
PRD-259E32C0,NorthPeak,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card AeroX Bombers/Softshell,Wild Card AeroX Bombers/Softshell engineered for casual/urban on city/commute in any conditions. Built with Nylon and weather resistant protection; insulation: none.,Men,Nylon,All-season,Charcoal,Casual/Urban,Any,City/Commute,Weather Resistant,None,"S,M,L,XL,XXL",236,4.3
PRD-80906C19,AlpineCo,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card EvergreenPro Bombers/Softshell,Wild Card EvergreenPro Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Nylon and weather resistant protection; insulation: none.,Women,Nylon,All-season,Sand,Travel,Variable,Airport/City,Weather Resistant,None,"XS,S,M,L,XL",161,4.6
PRD-8FE7DFE6,TrailForge,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card EvergreenX Bombers/Softshell,Wild Card EvergreenX Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Softshell and weather resistant protection; insulation: none.,Men,Softshell,All-season,Sky,Travel,Variable,Airport/City,Weather Resistant,None,"S,M,L,XL,XXL",157,4.8
PRD-1BA29764,NorthPeak,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card GlacierGTX Bombers/Softshell,Wild Card GlacierGTX Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Softshell and weather resistant protection; insulation: none.,Women,Softshell,All-season,Moss,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"XS,S,M,L,XL",161,4.3
PRD-D85ABDBE,AlpineCo,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card FrontierThermo Bombers/Softshell,Wild Card FrontierThermo Bombers/Softshell engineered for travel on airport/city in variable conditions. Built with Nylon and weather resistant protection; insulation: none.,Men,Nylon,All-season,Charcoal,Travel,Variable,Airport/City,Weather Resistant,None,"S,M,L,XL,XXL",173,4.4
PRD-567D76EF,TrailForge,Outerwear,Bombers/Softshell,Wild Card,Outerwear,Wild Card EvergreenFlex Bombers/Softshell,Wild Card EvergreenFlex Bombers/Softshell engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Polyester and weather resistant protection; insulation: none.,Unisex,Polyester,All-season,Charcoal,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,None,"XS,S,M,L,XL,XXL",169,4.3
PRD-C52CDEED,NorthPeak,Outerwear,Lightweight Jackets,Three Peaks,Outerwear,Three Peaks SierraPro Lightweight Jacket,Three Peaks SierraPro Lightweight Jacket engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Polyester and none/dwr protection; insulation: none.,Women,Polyester,All-season,Cinder,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,None/DWR,None,"XS,S,M,L,XL",203,4.7
PRD-47FB2F25,AlpineCo,Outerwear,Vests,Three Peaks,Outerwear,Three Peaks CascadeLite Vest,Three Peaks CascadeLite Vest engineered for backpacking on mixed trails in variable conditions. Built with Synthetic/Nylon and weather resistant protection; insulation: insulated.,Men,Synthetic/Nylon,All-season,Crimson,Backpacking,Variable,Mixed Trails,Weather Resistant,Insulated,"S,M,L,XL,XXL",94,4.5
PRD-CE9A908D,TrailForge,Outerwear,Lightweight Jackets,Three Peaks,Outerwear,Three Peaks TerraThermo Lightweight Jacket,Three Peaks TerraThermo Lightweight Jacket engineered for camping on campsite/trails in mild/variable conditions. Built with Nylon and none/dwr protection; insulation: none.,Women,Nylon,All-season,Taupe,Camping,Mild/Variable,Campsite/Trails,None/DWR,None,"XS,S,M,L,XL",116,4.3
PRD-F52C34F4,NorthPeak,Outerwear,Vests,Three Peaks,Outerwear,Three Peaks VentureThermo Vest,Three Peaks VentureThermo Vest engineered for casual/urban on city/commute in any conditions. Built with Down/Nylon and weather resistant protection; insulation: insulated.,Men,Down/Nylon,All-season,Charcoal,Casual/Urban,Any,City/Commute,Weather Resistant,Insulated,"S,M,L,XL,XXL",188,4.3
PRD-DA268133,AlpineCo,Outerwear,Lightweight Jackets,Three Peaks,Outerwear,Three Peaks EvergreenGrid Lightweight Jacket,Three Peaks EvergreenGrid Lightweight Jacket engineered for summer hiking on dry trails in warm/dry conditions. Built with Nylon and none/dwr protection; insulation: none.,Men,Nylon,All-season,Olive,Summer Hiking,Warm/Dry,Dry Trails,None/DWR,None,"S,M,L,XL,XXL",210,4.8
PRD-CFF6DDF7,TrailForge,Outerwear,Vests,Three Peaks,Outerwear,Three Peaks SummitLite Vest,Three Peaks SummitLite Vest engineered for trail hiking on dirt/rocky trails in mild/variable conditions. Built with Down/Nylon and weather resistant protection; insulation: insulated.,Women,Down/Nylon,All-season,Cinder,Trail Hiking,Mild/Variable,Dirt/Rocky Trails,Weather Resistant,Insulated,"XS,S,M,L,XL",200,4.9
PRD-CEDE8DE4,NorthPeak,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit RidgePro Fleece,Silver Summit RidgePro Fleece engineered for camping on campsite/trails in mild/variable conditions. Built with Polyester Fleece and none/dwr protection; insulation: fleece.,Unisex,Polyester Fleece,All-season,Navy,Camping,Mild/Variable,Campsite/Trails,None/DWR,Fleece,"XS,S,M,L,XL,XXL",119,4.7
PRD-D0B5E6A0,AlpineCo,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit PioneerPro Fleece,Silver Summit PioneerPro Fleece engineered for backpacking on mixed trails in variable conditions. Built with Recycled Fleece and none/dwr protection; insulation: fleece.,Men,Recycled Fleece,All-season,Cobalt,Backpacking,Variable,Mixed Trails,None/DWR,Fleece,"S,M,L,XL,XXL",86,4.8
PRD-4DCBED28,TrailForge,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit AtlasFlex Fleece,Silver Summit AtlasFlex Fleece engineered for camping on campsite/trails in mild/variable conditions. Built with Recycled Fleece and none/dwr protection; insulation: fleece.,Men,Recycled Fleece,All-season,Navy,Camping,Mild/Variable,Campsite/Trails,None/DWR,Fleece,"S,M,L,XL,XXL",146,4.2
PRD-BBDF8CAA,NorthPeak,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit PioneerFlex Fleece,Silver Summit PioneerFlex Fleece engineered for camping on campsite/trails in mild/variable conditions. Built with Recycled Fleece and none/dwr protection; insulation: fleece.,Women,Recycled Fleece,All-season,Moss,Camping,Mild/Variable,Campsite/Trails,None/DWR,Fleece,"XS,S,M,L,XL",67,4.2
PRD-F7038E2E,AlpineCo,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit GlacierX Fleece,Silver Summit GlacierX Fleece engineered for camping on campsite/trails in mild/variable conditions. Built with Recycled Fleece and none/dwr protection; insulation: fleece.,Men,Recycled Fleece,All-season,Olive,Camping,Mild/Variable,Campsite/Trails,None/DWR,Fleece,"S,M,L,XL,XXL",131,4.8
PRD-7F5FA6F6,TrailForge,Outerwear,Fleece,Silver Summit,Outerwear,Silver Summit EvergreenPrime Fleece,Silver Summit EvergreenPrime Fleece engineered for backpacking on mixed trails in variable conditions. Built with Recycled Fleece and none/dwr protection; insulation: fleece.,Unisex,Recycled Fleece,All-season,Crimson,Backpacking,Variable,Mixed Trails,None/DWR,Fleece,"XS,S,M,L,XL,XXL",107,4.5
